"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.175080154137668e+00, 3.445930864375413e+02, -7.658772987126434e+01, 2.749818789126278e+05
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.191903329502375e+00, 3.418954751501639e+02, -8.356355711614295e+01, 2.783999250255758e+05
83, 5.869000032500000e-02, -3.802635805630503e-02, 1.210094684293173e+00, 3.385410197249113e+02, -9.106300063325392e+01, 2.820843293766084e+05
84, 5.149000138000000e-02, -3.599337852580232e-02, 1.229832870120676e+00, 3.343608710410309e+02, -9.913555272005536e+01, 2.860675681425079e+05
85, 4.473999887700000e-02, -3.389028465845557e-02, 1.251463412289280e+00, 3.291345346446930e+02, -1.078266313810001e+02, 2.904157942624615e+05
86, 3.844000026600000e-02, -3.171811260404538e-02, 1.275307429326853e+00, 3.225798991276233e+02, -1.171594989837083e+02, 2.951888444460396e+05
87, 3.260000050100000e-02, -2.948109446637338e-02, 1.301747157589013e+00, 3.143509921178958e+02, -1.271400511831043e+02, 3.004595855028036e+05
88, 2.723000012300000e-02, -2.718419978786347e-02, 1.331215775303280e+00, 3.039258070387289e+02, -1.377067749516501e+02, 3.063049537795795e+05
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.364274983532493e+00, 2.906767469494525e+02, -1.486269107516750e+02, 3.128279592673527e+05
90, 1.789999939500000e-02, -2.241364555514381e-02, 1.401465006399402e+00, 2.737364380949913e+02, -1.595445300935709e+02, 3.201235534862162e+05
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.443456306846006e+00, 2.521305871131648e+02, -1.696006636362355e+02, 3.283140709971642e+05
92, 1.049000024800000e-02, -1.742916196961543e-02, 1.490383496229591e+00, 2.246140829683224e+02, -1.773634091574077e+02, 3.374035818102104e+05
93, 7.519999985000000e-03, -1.486756313872443e-02, 1.541847317865805e+00, 1.902518246956411e+02, -1.804368267144686e+02, 3.473022098219111e+05
94, 5.040000193000000e-03, -1.226032473458219e-02, 1.596289865539583e+00, 1.486730826212003e+02, -1.750150838545902e+02, 3.576896270748652e+05
95, 3.049999941000000e-03, -9.605565346412577e-03, 1.651630622187178e+00, 1.017504194775603e+02, -1.562163353659044e+02, 3.682134626832264e+05
96, 1.560000004000000e-03, -6.917517506923035e-03, 1.697554379508569e+00, 5.509760634639989e+01, -1.202058452209718e+02, 3.768332801800760e+05
97, 5.600000150000000e-04, -4.173159738460802e-03, 1.738299176663723e+00, 1.737726125605047e+01, -6.420536309291836e+01, 3.847348736048499e+05
98, 5.999999800000000e-05, -1.375329724321098e-03, 1.743919576490813e+00, -4.171096401844359e-01, 3.108330547221234e+00, 3.856148592186958e+05
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.725813655353741e+00, 1.023412446247363e-09, 5.125516944633478e+01, 3.818279492190681e+05
100, 5.999999800000000e-05, 1.375329724321098e-03, 1.723975757631155e+00, 1.326852468024443e+01, 9.887798482864083e+01, 3.820288399938574e+05
101, 5.600000150000000e-04, 4.173159738460802e-03, 1.685087791040641e+00, 4.383288578704884e+01, 1.619533887385488e+02, 3.749917167288409e+05
102, 1.560000004000000e-03, 6.917517506923035e-03, 1.603512533225997e+00, 9.452541553875596e+01, 2.062250653546027e+02, 3.591522838041680e+05
103, 3.049999941000000e-03, 9.605565346412577e-03, 1.529506504906044e+00, 1.476062870594012e+02, 2.266183604926669e+02, 3.450348742373410e+05
104, 5.040000193000000e-03, 1.226032473458219e-02, 1.454129338628914e+00, 1.951641279089500e+02, 2.297434452103324e+02, 3.304632687811671e+05
105, 7.519999985000000e-03, 1.486756313872443e-02, 1.384693839774094e+00, 2.337705544436365e+02, 2.217104466177587e+02, 3.168917055872180e+05
106, 1.049000024800000e-02, 1.742916196961543e-02, 1.323705107152066e+00, 2.633681404718466e+02, 2.079650155514579e+02, 3.048499347685613e+05
107, 1.394999958600000e-02, 1.994492353858276e-02, 1.271306751854215e+00, 2.855232982927703e+02, 1.920629362287823e+02, 2.944162599392711e+05
108, 1.789999939500000e-02, 2.241364555514381e-02, 1.226509342439867e+00, 3.018736408332953e+02, 1.759440157459597e+02, 2.854244106194440e+05
109, 2.232000045500000e-02, 2.482329437156798e-02, 1.188090411976432e+00, 3.139325655207490e+02, 1.605179220124851e+02, 2.776578849238604e+05
110, 2.723000012300000e-02, 2.718419978786347e-02, 1.155047089048818e+00, 3.228097403758262e+02, 1.462629603694827e+02, 2.709372384171911e+05
111, 3.260000050100000e-02, 2.948109446637338e-02, 1.126332410086363e+00, 3.293633651592987e+02, 1.332118433030730e+02, 2.650633793951243e+05
